X,Y,cod_punto,prop_poste,iden_punto,cluster,cod_prov,cod_cant,cod_parr,provincia,canton,parroquia,direccion,longitud,latitud,operadora,estado,tipo_servi,tipo_punto,desc_punto,situacion,OLT,ZONA,ELEMENTO_P,Tipo_de_He,icon_url
-80.7353337169516,-0.952483779253007,"302",cnel,M01-01_T3D3N16,M1C004,"13","1308","130850",manabi,manta,manta,av. 31 entre calle 16a y calle 12,529446.794100000057369,9894720.696000000461936,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7361159757497,-0.952176099390597,"303",cnel,M01-01_T3D2N07,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529359.761900000041351,9894754.710999999195337,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7367187344043,-0.952192530240582,"304",cnel,M01-01_T3D2N08,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529292.698300000047311,9894752.900000000372529,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7365840932441,-0.952215535945961,"305",cnel,M01-01_T3D2N09,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529307.678399999975227,9894750.356000000610948,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7368826420861,-0.952404346661987,"306",cnel,M01-01_T3D2N10,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529274.459999999962747,9894729.489000000059605,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7372616715378,-0.952446219031218,"307",cnel,M01-01_T3D2N14,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529232.288500000024214,9894724.864000001922250,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7368474400304,-0.952773008007133,"308",cnel,M01-01_T3D2N12,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529278.373499999986961,9894688.740000000223517,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7372616715378,-0.952446219031218,"309",cnel,M01-01_T3D2N13,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529232.288500000024214,9894724.864000001922250,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7350769138153,-0.95224180131004,"226",cnel,M01-01_T3D3,M1C004,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529475.368299999972805,9894747.439999999478459,conecel,aereo,sai,elemento_pasivo,caja_de_distribucion,n,"1",las acacias,manga distribucion,"0",./1.png
-80.7366069173841,-0.95395075300911,"310",cnel,M01-01_T3D2N11,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529305.124300000024959,9894558.560000000521541,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7360407654482,-0.953978312327617,"311",cnel,M01-01_T3D3N03,M1C004,"13","1308","130850",manabi,manta,manta,calle 14 entre calle 12 y av. 24,529368.114599999971688,9894555.508999999612570,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7363552624335,-0.953400040072705,"312",cnel,M01-01_T3D3N04,M1C004,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529333.128299999982119,9894619.428999999538064,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7347948401328,-0.953143531107596,"313",cnel,M01-01_T3D3N02,M1C004,"13","1308","130850",manabi,manta,manta,av. 31 entre calle 16a y calle 12,529506.744399999966845,9894647.767999999225140,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7344588213823,-0.953687711667325,"314",cnel,M01-01_T3D3N01,M1C004,"13","1308","130850",manabi,manta,manta,av. 31 entre calle 16a y calle 12,529544.125499999965541,9894587.616000000387430,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7338621717252,-0.95390441787207,"315",cnel,M01-01_T3D4N03,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529610.507400000002235,9894563.657999999821186,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7350785787904,-0.95384794930194,"316",cnel,M01-01_T3D4N01,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529475.169400000013411,9894569.910000000149012,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7347402764342,-0.954400217892076,"317",cnel,M01-01_T3D4N02,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529512.804499999969266,9894508.864000000059605,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.733130782327,-0.950855584542801,"318",cnel,M01-01_T3D3N07,M1C004,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529691.908500000019558,9894900.643999999389052,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7336883032688,-0.951299772543205,"319",cnel,M01-01_T3D3N06,M1C004,"13","1308","130850",manabi,manta,manta,calle 15 entre av. 24 y av. 35,529629.874399999971502,9894851.551999999210238,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7345602095423,-0.951451950582489,"320",cnel,M01-01_T3D3N05,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529532.863999999943189,9894834.739000000059605,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7338469880116,-0.950946238757656,"321",cnel,M01-01_T3D3N08,M1C004,"13","1308","130850",manabi,manta,manta,calle s/n,529612.221999999950640,9894890.630000000819564,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7341469306568,-0.950722696892195,"322",cnel,M01-01_T3D3N09,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529578.851999999955297,9894915.341000000014901,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7347082440258,-0.951010178655172,"323",cnel,M01-01_T3D3N11,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529516.397299999953248,9894883.570000000298023,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7344651196369,-0.95089817370991,"324",cnel,M01-01_T3D3N10,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529543.448500000056811,9894895.948000000789762,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7368388687757,-0.954754550591972,"325",cnel,M01-01_T3D1N09,M1C004,"13","1308","130850",manabi,manta,manta,calle 14 entre calle 12 y av. 24,529279.310399999958463,9894469.717000002041459,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7362329321814,-0.954800653584277,"326",cnel,M01-01_T3D1N11,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529346.726999999955297,9894464.616000000387430,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7368388687757,-0.954754550591972,"327",cnel,M01-01_T3D1N10,M1C004,"13","1308","130850",manabi,manta,manta,calle 14 entre calle 12 y av. 24,529279.310399999958463,9894469.717000002041459,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7362329321814,-0.954800653584277,"328",cnel,M01-01_T3D1N12,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529346.726999999955297,9894464.616000000387430,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7356207013537,-0.954764743185909,"329",cnel,M01-01_T3D1N13,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529414.844599999953061,9894468.580000000074506,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7356503390451,-0.954916123089103,"330",cnel,M01-01_T3D1N14,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529411.545799999963492,9894451.847999999299645,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7360823631964,-0.955145493767269,"331",cnel,M01-01_T3D1N15,M1C004,"13","1308","130850",manabi,manta,manta,calle 12 entre av. circunvalacion y av. 25,529363.476499999989755,9894426.498999999836087,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
